Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.7938993710691824,0.7680188679245282,0.025880503144654177,0.06569343065693431,0.5633064590368511,0.5335527466416794,0.02975371239517166,0.21497850214978503
Fusidic acid,0.6822995461422089,0.6496554042696252,0.03264414187258369,0.18518148185181482,0.21632716450593936,0.1682320574843209,0.048095107021618455,0.22477752224777522
Oxacillin,0.9131829987014284,0.9147188093097592,-0.0015358106083308565,0.7782221777822218,0.8231456627052577,0.8193642724942826,0.003781390210975122,0.5518448155184481
Ceftriaxone,0.9172660515910375,0.913726228582188,0.003539823008849474,0.58994100589941,0.827209802805957,0.8249665266456712,0.0022432761602858564,0.7242275772422758
Clindamycin,0.8070132013201321,0.7937788778877888,0.01323432343234332,0.38676132386761325,0.5312579201795006,0.482282296150159,0.04897562402934158,0.0163983601639836
