Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.8307044323835368,0.8229081863410221,0.00779624604251461,0.2903709629037096,0.7383641054800847,0.709505132196958,0.0288589732831267,0.019698030196980302
Ceftriaxone,0.9029744187202966,0.9021006343816377,0.0008737843386589228,0.8817118288171183,0.8293177734980376,0.8236128538678691,0.0057049196301685035,0.3120687931206879
Piperacillin-Tazobactam,0.801443978964257,0.7350209466084322,0.06642303235582481,0.026297370262973702,0.33006412330615936,0.23022073332136736,0.099843389984792,0.05699430056994301
Cefepime,0.8947268416400241,0.8903483770766727,0.004378464563351447,0.5543445655434457,0.7565495869923126,0.7333109772402696,0.02323860975204295,0.0380961903809619
Tobramycin,0.7844699484650164,0.76962070673538,0.01484924172963642,0.3110688931106889,0.3804096464993025,0.33327601228537007,0.04713363421393241,0.1141885811418858
