Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8691860465116279,0.5976802507836991,0.20588235294117646,0.28,0.8782275110557705,0.1699345954778729,0.6838871473354232,0.22383209765531098
Fusidic acid,0.9476744186046512,0.55,1.0,0.1,0.9269756013942061,0.30779350562554625,0.7195987654320988,0.26487366497134845
Oxacillin,0.561046511627907,0.6326846528084918,0.09375,0.7142857142857143,0.6694228254013388,0.1273774920435289,0.686127082411912,0.17125856809034976
Clindamycin,0.8575581395348837,0.5660194174757281,0.25,0.2,0.8504423772609819,0.14597967370346626,0.6142394822006473,0.23732754924144955
