Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8430232558139535,0.6020062695924765,0.17777777777777778,0.32,0.8629084282166242,0.1570653390073594,0.673730407523511,0.21175666273823932
Fusidic acid,0.9447674418604651,0.5719135802469135,0.6,0.15,0.9288224771124909,0.28121828679178096,0.6881172839506173,0.22330269036839176
Oxacillin,0.5726744186046512,0.6166150670794633,0.09090909090909091,0.6666666666666666,0.6796640826873385,0.11229448034418131,0.6690255049388176,0.1907900552873045
Clindamycin,0.8313953488372093,0.5894590846047156,0.23255813953488372,0.2857142857142857,0.8389361369346119,0.1635498807797521,0.6444752658344891,0.21947146822109911
