Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Fusidic acid,0.8686868686868687,0.49671899125064334,0.08333333333333333,0.034482758620689655,0.8434817900702434,-0.00989215077274085,0.5712815234173958,0.12571401987862363
Oxacillin,0.5521885521885522,0.6070175438596491,0.058394160583941604,0.6666666666666666,0.6771340583270302,0.08454301916714516,0.7431286549707603,0.380533616426106
Clindamycin,0.7710437710437711,0.5329113924050634,0.3333333333333333,0.13333333333333333,0.7300625300625301,0.09697038193631716,0.554887482419128,0.2861402406517144
