Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Fusidic acid,0.8956228956228957,0.4962686567164179,0.0,0.0,0.852671175939382,-0.027085421086188406,0.6060216160576427,0.136225552813791
Oxacillin,0.5454545454545454,0.6035087719298246,0.05755395683453238,0.6666666666666666,0.6714495197894058,0.081692890179193,0.7665204678362574,0.43888748212950424
Clindamycin,0.7811447811447811,0.5267932489451477,0.35294117647058826,0.1,0.7291371856168761,0.09261934317137463,0.5498945147679325,0.2772076909454495
