Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.9618320610687023,0.5,0.0,0.0,0.9431193750556925,0.0,0.7857142857142857,0.36583075335397314
Fusidic acid,0.9694656488549618,0.5,0.0,0.0,0.9544351736789158,0.0,0.6200787401574803,0.05747400531908394
Oxacillin,0.9312977099236641,0.5514571948998178,0.5,0.1111111111111111,0.9103958904147463,0.21230851881237728,0.8770491803278688,0.4660721656188743
Clindamycin,0.8778625954198473,0.524712643678161,0.3333333333333333,0.06666666666666667,0.8401535060276145,0.10521028932971771,0.5890804597701149,0.23703572053687452
