Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8796033994334278,0.6728459119496856,0.6779661016949152,0.37735849056603776,0.8647249062614211,0.446210226688818,0.7938993710691824,0.5633064590368511
Fusidic acid,0.9362606232294618,0.5517734072953437,0.5,0.1111111111111111,0.9168019014539314,0.21406176898165893,0.6822995461422089,0.21632716450593936
Oxacillin,0.8980169971671388,0.7886325042453302,0.8431372549019608,0.6056338028169014,0.8914040189349384,0.6581735147697856,0.9131829987014284,0.8231456627052577
Ceftriaxone,0.896600566572238,0.7970187660829724,0.8090909090909091,0.6312056737588653,0.8915957829213169,0.6548294350134656,0.9172660515910375,0.827209802805957
Clindamycin,0.8725212464589235,0.6501980198019802,0.5862068965517241,0.34,0.8577126794858883,0.38144244282727746,0.8070132013201321,0.5312579201795006
