Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.9618320610687023,0.5,0.0,0.0,0.9431193750556925,0.0,0.7809523809523811,0.3131718184349763
Fusidic acid,0.9694656488549618,0.5,0.0,0.0,0.9544351736789158,0.0,0.6181102362204725,0.054124410789048644
Oxacillin,0.9465648854961832,0.662568306010929,0.75,0.3333333333333333,0.9368253990713294,0.4780080273347542,0.8515482695810564,0.4967090932354667
Clindamycin,0.8854961832061069,0.5,0.0,0.0,0.831721111351485,0.0,0.5672413793103448,0.17572017373631516
