Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.7641509433962265,0.6336996336996337,0.5882352941176471,0.35714285714285715,0.7430924314892229,0.3212677014508107,0.7353479853479854,0.5737705646912991
Clindamycin,0.6415094339622641,0.5299242424242424,0.75,0.075,0.5332639059054154,0.15223869131236478,0.5821969696969698,0.506817787492556
