Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8796033994334278,0.6378930817610062,0.7560975609756098,0.29245283018867924,0.8560782966849865,0.42120961876120044,0.7680188679245282,0.5335527466416794
Fusidic acid,0.93342776203966,0.508841822154984,0.25,0.022222222222222223,0.9065773813677079,0.05755462197821536,0.6496554042696252,0.1682320574843209
Oxacillin,0.8923512747875354,0.7982594146438917,0.7844827586206896,0.6408450704225352,0.8881397948281263,0.6452869476021371,0.9147188093097592,0.8193642724942826
Ceftriaxone,0.9022662889518414,0.8058808761689575,0.8272727272727273,0.6453900709219859,0.8975357400215186,0.6743674952416588,0.913726228582188,0.8249665266456712
Clindamycin,0.8739376770538244,0.6384983498349835,0.6078431372549019,0.31,0.8559331244149472,0.37308274944473846,0.7937788778877888,0.482282296150159
