Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.7813521873619089,0.7261157755192224,0.05523641184268657,0.007499250074992501,0.6088384734450143,0.5541388897787811,0.054699583666233176,0.040195980401959805
Ceftriaxone,0.8650992032494922,0.8364318075300735,0.028667395719418676,0.2293770622937706,0.6496137375908164,0.5995348845597879,0.05007885303102855,0.0244975502449755
Piperacillin-Tazobactam,0.6450953678474114,0.6641689373297003,-0.019073569482288888,0.785021497850215,0.15789099432330964,0.13366309563569015,0.024227898687619487,0.8062193780621938
Cefepime,0.8458177278401997,0.8277153558052434,0.01810237203495635,0.6102389761023898,0.5791139672968908,0.5264096386249307,0.052704328671960066,0.1553844615538446
