Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.865546218487395,0.7477253928866832,0.7777777777777778,0.5384615384615384,0.8560953903585802,0.5713888091861771,0.8341604631927213,0.732304535316362
Ceftriaxone,0.7647058823529411,0.699063670411985,0.53125,0.5666666666666667,0.7671640503708815,0.38989082767577915,0.8059925093632958,0.7013451301334142
Piperacillin-Tazobactam,0.907563025210084,0.5416666666666666,1.0,0.08333333333333333,0.8707146448322919,0.2748908360629951,0.5085669781931464,0.18422990386496663
Cefepime,0.7899159663865546,0.6660087719298246,0.4782608695652174,0.4583333333333333,0.7882309880619286,0.3373874481555234,0.7907894736842105,0.6286362270409688
