Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8232758620689655,0.7283808231569425,0.8132530120481928,0.503731343283582,0.8088469473482358,0.5401289616419137,0.8307044323835368,0.7383641054800847
Ceftriaxone,0.9094827586206896,0.8150134619619656,0.8741258741258742,0.6544502617801047,0.9044058672269851,0.7055157114225806,0.9029744187202966,0.8293177734980376
Piperacillin-Tazobactam,0.9342672413793104,0.5521080310188073,0.7,0.1076923076923077,0.9111801938727436,0.25761751948906947,0.801443978964257,0.33006412330615936
Cefepime,0.9094827586206896,0.8060340198435318,0.7786259541984732,0.6496815286624203,0.9061473727422004,0.6590402043448451,0.8947268416400241,0.7565495869923126
Tobramycin,0.8696120689655172,0.6401561857788738,0.47560975609756095,0.3333333333333333,0.859522853848457,0.32783364015348654,0.7844699484650164,0.3804096464993025
