Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8523274478330658,0.7365821000704722,0.8020833333333334,0.5133333333333333,0.8401066436988608,0.560334230413703,0.843047921071177,0.7240522564449667
Ceftriaxone,0.8900481540930979,0.7914189871591402,0.8844221105527639,0.6068965517241379,0.8823151188719126,0.6723198071550395,0.881965084403405,0.7971350353226111
Piperacillin-Tazobactam,0.833868378812199,0.7388787061994609,0.8904761904761904,0.5040431266846361,0.8178483606165441,0.5835914090573674,0.8219822872545244,0.7562658711107972
