Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.784037558685446,0.6572198987453225,0.7096774193548387,0.3728813559322034,0.7594418362023996,0.399031640112019,0.7994717147259519,0.6799023505756182
Ceftriaxone,0.8450704225352113,0.7390873015873016,0.6578947368421053,0.5555555555555556,0.84011816163764,0.5098431412140759,0.7980158730158731,0.5789924152579289
Piperacillin-Tazobactam,0.7699530516431925,0.5,0.0,0.0,0.6698795780874459,0.0,0.7538576406172226,0.43460640936895983
Cefepime,0.8450704225352113,0.6683994528043775,0.7272727272727273,0.37209302325581395,0.8245495988931673,0.4442233020957841,0.8212038303693571,0.624974108941662
