Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8487394957983193,0.6815550041356493,0.8333333333333334,0.38461538461538464,0.826169836355595,0.4982919323977454,0.8010752688172043,0.6818214252035648
Ceftriaxone,0.8151260504201681,0.6775280898876405,0.75,0.4,0.7937332541712337,0.45193305041255616,0.8157303370786517,0.6636358759684101
Piperacillin-Tazobactam,0.8991596638655462,0.5,0.0,0.0,0.8514166728638358,0.0,0.6246105919003115,0.2180596342871886
Cefepime,0.8403361344537815,0.6664473684210526,0.6923076923076923,0.375,0.8209712283461186,0.4282030374308328,0.7614035087719299,0.5889132220648271
