Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8515248796147673,0.7280866807610993,0.8212290502793296,0.49,0.8372341259876729,0.5560673440590858,0.848569415081043,0.7320472367831647
Ceftriaxone,0.884430176565008,0.7841545231568317,0.865,0.596551724137931,0.8764143446555738,0.6542318365689221,0.8843745491271101,0.7976945276344549
Piperacillin-Tazobactam,0.833868378812199,0.739654986522911,0.8867924528301887,0.5067385444743935,0.818132591653642,0.5832829033338032,0.8165098190219484,0.7446360292370738
