Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8262910798122066,0.7178076161127008,0.8235294117647058,0.4745762711864407,0.8094637117808403,0.5322595342705562,0.8092670041822584,0.7071645774968612
Ceftriaxone,0.8544600938967136,0.7287698412698412,0.71875,0.5111111111111111,0.8448848862909156,0.5227275473194911,0.7914021164021164,0.6030737643691265
Piperacillin-Tazobactam,0.7511737089201878,0.4878048780487805,0.0,0.0,0.6605495349217737,-0.0756193549823076,0.6492035838725734,0.3067950553091183
Cefepime,0.8544600938967136,0.7003419972640219,0.7307692307692307,0.4418604651162791,0.839996500743592,0.4913072874211269,0.8352941176470589,0.6034038983099514
