Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8060344827586207,0.6996381727725012,0.7894736842105263,0.44776119402985076,0.7870830303113464,0.48894531832611676,0.8229081863410221,0.709505132196958
Ceftriaxone,0.8997844827586207,0.805028877506802,0.831081081081081,0.643979057591623,0.8948489567628318,0.6736638155093742,0.9021006343816377,0.8236128538678691
Piperacillin-Tazobactam,0.9310344827586207,0.5076923076923077,1.0,0.015384615384615385,0.8988295593188679,0.11967649253780872,0.7350209466084322,0.23022073332136736
Cefepime,0.8987068965517241,0.7741868860855701,0.7603305785123967,0.5859872611464968,0.8933037849253833,0.6105542205610606,0.8903483770766727,0.7333109772402696
Tobramycin,0.8599137931034483,0.6053516287794957,0.41333333333333333,0.26495726495726496,0.8463597790948276,0.2566075680415378,0.76962070673538,0.33327601228537007
