Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8668407310704961,0.6768669907202828,0.84375,0.3698630136986301,0.8449727194393674,0.5021003358677086,0.7813521873619089,0.6088384734450143
Ceftriaxone,0.9347258485639687,0.7104358693954069,0.8,0.43243243243243246,0.9257745371726224,0.5588823124789133,0.8650992032494922,0.6496137375908164
Piperacillin-Tazobactam,0.95822454308094,0.5,0.0,0.0,0.9377824194952131,0.0,0.6450953678474114,0.15789099432330964
Cefepime,0.9477806788511749,0.6638576779026217,0.8181818181818182,0.3333333333333333,0.9373609762506285,0.5022684053602197,0.8458177278401997,0.5791139672968908
