Antibiotic,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Weighted,MCC,AUROC,AUPRC
Ciprofloxacin,0.8433420365535248,0.604750331418471,0.8421052631578947,0.2191780821917808,0.8036419456362575,0.3789659461387567,0.7261157755192224,0.5541388897787811
Ceftriaxone,0.9321148825065274,0.672785502265271,0.8666666666666667,0.35135135135135137,0.9188004183396596,0.526267642143455,0.8364318075300735,0.5995348845597879
Piperacillin-Tazobactam,0.95822454308094,0.5,0.0,0.0,0.9377824194952131,0.0,0.6641689373297003,0.13366309563569015
Cefepime,0.9451697127937336,0.6282251352476071,0.875,0.25925925925925924,0.9309997749783016,0.4590388207151632,0.8277153558052434,0.5264096386249307
