Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.848569415081043,0.843047921071177,0.005521494009866013,0.3658634136586341,0.7320472367831647,0.7240522564449667,0.00799498033819801,0.19568043195680432
Ceftriaxone,0.8843745491271101,0.881965084403405,0.002409464723705068,0.687031296870313,0.7976945276344549,0.7971350353226111,0.0005594923118438233,0.939006099390061
Piperacillin-Tazobactam,0.8165098190219484,0.8219822872545244,-0.005472468232575967,0.3117688231176882,0.7446360292370738,0.7562658711107972,-0.011629841873723401,0.33586641335866413
