Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Fusidic acid,0.5712815234173958,0.6060216160576427,-0.03474009264024691,0.42875712428757123,0.12571401987862363,0.136225552813791,-0.010511532935167378,0.56994300569943
Oxacillin,0.7431286549707603,0.7665204678362574,-0.023391812865497075,0.30796920307969206,0.380533616426106,0.43888748212950424,-0.05835386570339823,0.5186481351864813
Clindamycin,0.554887482419128,0.5498945147679325,0.004992967651195501,0.8724127587241276,0.2861402406517144,0.2772076909454495,0.008932549706264892,0.7686231376862314
