Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.673730407523511,0.6838871473354232,-0.01015673981191223,0.7107289271072893,0.21175666273823932,0.22383209765531098,-0.012075434917071665,0.7712228777122287
Fusidic acid,0.6881172839506173,0.7195987654320988,-0.031481481481481444,0.41335866413358663,0.22330269036839176,0.26487366497134845,-0.041570974602956695,0.16898310168983102
Oxacillin,0.6690255049388176,0.686127082411912,-0.017101577473094376,0.30896910308969106,0.1907900552873045,0.17125856809034976,0.019531487196954744,0.3922607739226077
Clindamycin,0.6444752658344891,0.6142394822006473,0.03023578363384183,0.20467953204679531,0.21947146822109911,0.23732754924144955,-0.01785608102035044,0.6002399760023998
