Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.8092670041822584,0.7994717147259519,0.009795289456306477,0.4744525547445255,0.7071645774968612,0.6799023505756182,0.027262226921243027,0.22567743225677434
Ceftriaxone,0.7914021164021164,0.7980158730158731,-0.006613756613756627,0.6175382461753824,0.6030737643691265,0.5789924152579289,0.024081349111197636,0.26947305269473054
Piperacillin-Tazobactam,0.6492035838725734,0.7538576406172226,-0.10465405674464923,0.0008999100089991,0.3067950553091183,0.43460640936895983,-0.1278113540598415,0.0004999500049995
Cefepime,0.8352941176470589,0.8212038303693571,0.014090287277701785,0.36796320367963203,0.6034038983099514,0.624974108941662,-0.021570210631710607,0.35826417358264173
