Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.7809523809523811,0.7857142857142857,-0.004761904761904634,0.963003699630037,0.3131718184349763,0.36583075335397314,-0.052658934918996814,0.5036496350364964
Fusidic acid,0.6181102362204725,0.6200787401574803,-0.0019685039370078705,0.9892010798920108,0.054124410789048644,0.05747400531908394,-0.0033495945300352978,0.8309169083091691
Oxacillin,0.8515482695810564,0.8770491803278688,-0.025500910746812377,0.44765523447655237,0.4967090932354667,0.4660721656188743,0.03063692761659237,0.5486451354864513
Clindamycin,0.5672413793103448,0.5890804597701149,-0.02183908045977012,0.8405159484051595,0.17572017373631516,0.23703572053687452,-0.06131554680055937,0.5517448255174483
