Antibiotic,AUROC_Det,AUROC_Bayes,AUROC_Diff,AUROC_p,AUPRC_Det,AUPRC_Bayes,AUPRC_Diff,AUPRC_p
Ciprofloxacin,0.8341604631927213,0.8010752688172043,0.033085194375517046,0.25077492250774924,0.732304535316362,0.6818214252035648,0.05048311011279716,0.1501849815018498
Ceftriaxone,0.8059925093632958,0.8157303370786517,-0.009737827715355918,0.8022197780221978,0.7013451301334142,0.6636358759684101,0.037709254165004036,0.44315568443155684
Piperacillin-Tazobactam,0.5085669781931464,0.6246105919003115,-0.1160436137071651,0.39216078392160786,0.18422990386496663,0.2180596342871886,-0.03382973042222198,0.6837316268373163
Cefepime,0.7907894736842105,0.7614035087719299,0.029385964912280627,0.5351464853514648,0.6286362270409688,0.5889132220648271,0.039723004976141674,0.44345565443455653
